Date,Year,Week,Flu_Index,Temperature,Total_Travellers,CO,SO2,PM10,PM2.5
2017-12-31,2018,1,39.8,15.142857142857142,16739.0,82.0,8.9375,56.125,34.625
2018-01-07,2018,2,57.8,16.257142857142856,16739.0,80.0,6.9375,42.5625,27.6875
2018-01-14,2018,3,70.0,9.700000000000001,16739.0,80.0,6.9375,42.5625,27.6875
2018-01-21,2018,4,76.8,15.87142857142857,16739.0,80.0,6.9375,42.5625,27.6875
2018-01-28,2018,5,75.4,15.599999999999998,16739.0,80.0,6.9375,42.5625,27.6875
2018-02-04,2018,6,71.3,7.714285714285714,16739.0,84.44444444444444,7.1875,44.38392857142857,29.044642857142858
2018-02-11,2018,7,36.4,10.414285714285715,16739.0,87.77777777777776,7.375,45.75,30.0625
2018-02-18,2018,8,57.4,14.671428571428569,16739.0,87.77777777777776,7.375,45.75,30.0625
2018-02-25,2018,9,47.9,16.62857142857143,16739.0,87.77777777777776,7.375,45.75,30.0625
2018-03-04,2018,10,40.2,18.942857142857143,16739.0,79.33333333333333,7.053571428571429,41.892857142857146,26.526785714285715
2018-03-11,2018,11,45.3,15.700000000000001,16739.0,73.0,6.8125,39.0,23.875
2018-03-18,2018,12,44.5,18.585714285714285,16739.0,73.0,6.8125,39.0,23.875
2018-03-25,2018,13,35.9,17.142857142857142,16739.0,73.0,6.8125,39.0,23.875
2018-04-01,2018,14,21.8,19.82857142857143,16739.0,71.36507936507937,6.776785714285714,39.55357142857143,23.866071428571427
2018-04-08,2018,15,25.1,18.728571428571428,16739.0,61.55555555555556,6.5625,42.875,23.8125
2018-04-15,2018,16,41.4,21.885714285714283,16739.0,61.55555555555556,6.5625,42.875,23.8125
2018-04-22,2018,17,47.1,20.314285714285713,16739.0,61.55555555555556,6.5625,42.875,23.8125
2018-04-29,2018,18,46.9,22.557142857142857,16739.0,61.55555555555556,6.5625,42.875,23.8125
2018-05-06,2018,19,42.9,23.928571428571427,16739.0,52.79365079365079,6.991071428571429,25.678571428571427,15.241071428571429
2018-05-13,2018,20,41.6,23.7,16739.0,51.333333333333336,7.0625,22.8125,13.8125
2018-05-20,2018,21,38.9,25.67142857142857,16739.0,51.333333333333336,7.0625,22.8125,13.8125
2018-05-27,2018,22,38.3,26.157142857142855,16739.0,51.333333333333336,7.0625,22.8125,13.8125
2018-06-03,2018,23,39.2,26.2,16739.0,55.23809523809524,6.660714285714286,22.625,13.651785714285714
2018-06-10,2018,24,31.8,26.02857142857143,16739.0,60.44444444444444,6.125,22.375,13.4375
2018-06-17,2018,25,41.2,24.771428571428572,16739.0,60.44444444444444,6.125,22.375,13.4375
2018-06-24,2018,26,37.1,26.442857142857143,16739.0,60.44444444444444,6.125,22.375,13.4375
2018-07-01,2018,27,41.8,26.5,16739.0,59.6031746031746,6.071428571428571,21.991071428571427,12.982142857142858
2018-07-08,2018,28,41.0,27.0,16739.0,54.55555555555556,5.75,19.6875,10.25
2018-07-15,2018,29,31.0,25.985714285714288,16739.0,54.55555555555556,5.75,19.6875,10.25
2018-07-22,2018,30,25.5,26.142857142857142,16739.0,54.55555555555556,5.75,19.6875,10.25
2018-07-29,2018,31,17.3,26.75714285714286,16739.0,54.55555555555556,5.75,19.6875,10.25
2018-08-05,2018,32,19.1,26.82857142857143,16739.0,64.95238095238095,6.285714285714286,23.705357142857142,15.071428571428571
2018-08-12,2018,33,36.4,26.5,16739.0,69.11111111111111,6.5,25.3125,17.0
2018-08-19,2018,34,44.2,26.342857142857145,16739.0,69.11111111111111,6.5,25.3125,17.0
2018-08-26,2018,35,37.2,26.2,16739.0,69.11111111111111,6.5,25.3125,17.0
2018-09-02,2018,36,48.2,25.685714285714287,16739.0,67.82936507936508,6.852380952380953,27.032738095238095,17.83809523809524
2018-09-09,2018,37,31.7,25.885714285714283,16739.0,64.625,7.733333333333333,31.333333333333332,19.933333333333334
2018-09-16,2018,38,18.5,24.714285714285715,16739.0,64.625,7.733333333333333,31.333333333333332,19.933333333333334
2018-09-23,2018,39,18.6,25.75714285714286,16739.0,64.625,7.733333333333333,31.333333333333332,19.933333333333334
2018-09-30,2018,40,32.3,23.67142857142857,16739.0,64.625,7.733333333333333,31.333333333333332,19.933333333333334
